Rank,Name,Age,YTD,Singles,Doubles,Career
265,Frederico Ferreira Silva,30,67511.0,65743.0,1768.0,806698.0
266,Patrick Zahraj,26,101133.0,85204.0,15929.0,146675.0
267,Tiago Pereira,21,86309.0,65833.0,20476.0,142259.0
268,Gauthier Onclin,24,246554.0,244980.0,1574.0,509498.0
269,Federico Coria,33,193013.0,193013.0,0.0,3303680.0
270,Tom Paris,23,58607.0,55137.0,3470.0,87514.0
271,Andres Martin,24,112218.0,104772.0,7446.0,186122.0
272,Andres Andrade,27,63341.0,57724.0,5617.0,151898.0
273,Ilia Simakin,22,64319.0,56362.0,7957.0,118429.0
274,Edas Butvilas,21,149695.0,145646.0,4049.0,213078.0
275,Pedro Boscardin Dias,22,60684.0,50423.0,10261.0,161041.0
276,Fajing Sun,29,155554.0,145111.0,10443.0,450304.0
277,Sumit Nagal,28,217873.0,216829.0,1044.0,1631781.0
278,Henri Squire,25,130032.0,129200.0,832.0,498674.0
279,Beibit Zhukayev,25,261933.0,249814.0,12119.0,684699.0
280,Filip Cristian Jianu,24,177527.0,173875.0,3652.0,377468.0
281,Alex Rybakov,28,48450.0,45283.0,3167.0,227508.0
282,Stefanos Sakellaridis,21,60397.0,52548.0,7849.0,203639.0
283,Florent Bax,26,45198.0,41862.0,3336.0,100536.0
284,Alastair Gray,27,61735.0,60322.0,1413.0,290439.0
285,Marat Sharipov,23,61762.0,54539.0,7223.0,133437.0
286,Saba Purtseladze,24,76471.0,71985.0,4486.0,157064.0
287,Michael Mmoh,27,141689.0,139839.0,1850.0,2330276.0
288,James Trotter,26,266249.0,260967.0,5282.0,375275.0
289,Stefan Kozlov,27,50492.0,49162.0,1330.0,1079127.0
290,Andrej Nedic,21,38491.0,34754.0,3737.0,63812.0
291,Tom Gentzsch,22,51051.0,50005.0,1046.0,99929.0
292,Fabrizio Andaloro,24,40363.0,38227.0,2136.0,73783.0
293,Abdullah Shelbayh,22,80450.0,77625.0,2825.0,651513.0
294,Garrett Johns,25,107826.0,101991.0,5835.0,159094.0
295,Borna Gojo,27,227341.0,215053.0,12288.0,1411324.0
296,Tyler Zink,24,97794.0,88469.0,9325.0,158623.0
297,Michael Geerts,30,77007.0,61050.0,15957.0,417755.0
298,Mikhail Kukushkin,38,244881.0,242990.0,1891.0,7515896.0
299,Norbert Gombos,35,57325.0,56880.0,445.0,2311795.0
300,Darwin Blanch,18,175912.0,175367.0,545.0,235005.0
301,Matheus Pucinelli De Almeida,24,55435.0,50932.0,4503.0,332132.0
302,Sandro Kopp,25,49470.0,44205.0,5265.0,160291.0
303,Jacopo Berrettini,27,56669.0,43842.0,12827.0,220915.0
304,Hynek Barton,21,64008.0,54536.0,9472.0,113956.0
305,Robin Bertrand,22,90016.0,83009.0,7007.0,203233.0
306,Liam Broady,31,35957.0,34222.0,1735.0,2100667.0
307,Nikolas Sanchez Izquierdo,26,59506.0,52319.0,7187.0,274454.0
308,Petr Brunclik,19,45191.0,44297.0,894.0,56900.0
309,Yasutaka Uchiyama,33,251472.0,250022.0,1450.0,1903395.0
310,Lilian Marmousez,23,37469.0,35914.0,1555.0,89207.0
311,Aziz Dougaz,28,217230.0,213435.0,3795.0,651667.0
312,Gianluca Cadenasso,21,50081.0,37954.0,12127.0,82240.0
313,Richard Gasquet,39,242046.0,240347.0,1699.0,21490622.0
314,Eliakim Coulibaly,23,49611.0,45192.0,4419.0,127801.0
315,Harry Wendelken,24,48077.0,38330.0,9747.0,130828.0
316,Jie Cui,27,70245.0,59150.0,11095.0,210907.0
317,Akira Santillan,28,43375.0,35250.0,8125.0,538897.0
318,Charles Broom,27,68001.0,44546.0,23455.0,356596.0
319,Duje Ajdukovic,24,161124.0,160330.0,794.0,681939.0
320,Carlos Sanchez Jover,25,59861.0,56701.0,3160.0,191404.0
321,Matteo Martineau,26,132362.0,123510.0,8852.0,492431.0
322,Miguel Damas,26,43596.0,42839.0,757.0,114734.0
323,Mats Rosenkranz,27,54855.0,48432.0,6423.0,200542.0
324,Facundo Mena,33,143830.0,128249.0,15581.0,688133.0
325,Renta Tokuda,27,35385.0,34758.0,627.0,147290.0
326,Gabi Adrian Boitan,26,37518.0,34936.0,2582.0,108831.0
327,Philip Henning,25,35788.0,31470.0,4318.0,71331.0
328,Petr Bar Biryukov,23,54981.0,45899.0,9082.0,96529.0
329,Omar Jasika,28,229090.0,226516.0,2574.0,755145.0
330,Mathys Erhard,24,88313.0,85069.0,3244.0,223917.0
331,Li Tu,29,310037.0,279802.0,30235.0,912287.0
332,Giles Hussey,28,59299.0,55038.0,4261.0,141763.0
333,Oliver Tarvet,22,153280.0,153280.0,0.0,165798.0
334,Franco Agamenone,32,44998.0,36660.0,8338.0,642287.0
335,Andrej Martin,36,48834.0,44921.0,3913.0,1653083.0
336,Andrea Vavassori,30,908538.0,66850.0,841688.0,3240111.0
337,Alfredo Perez,28,56927.0,45495.0,11432.0,125557.0
338,Hamish Stewart,26,97249.0,87122.0,10127.0,130320.0
339,Jelle Sels,30,55170.0,50318.0,4852.0,391480.0
340,Daniel Dutra da Silva,37,68731.0,56739.0,11992.0,437104.0
341,Sergey Fomin,24,40391.0,34164.0,6227.0,131515.0
342,Jakub Paul,26,117868.0,42932.0,74936.0,279943.0
343,Gabriele Piraino,22,42576.0,42522.0,54.0,107316.0
344,Maxim Mrva,18,45485.0,43520.0,1965.0,52233.0
345,Gonzalo Villanueva,30,65113.0,44798.0,20315.0,279873.0
346,Mika Brunold,21,52733.0,52733.0,0.0,121360.0
347,Cedrik-Marcel Stebe,35,32697.0,32643.0,54.0,1609348.0
348,Martin Krumich,23,33581.0,33141.0,440.0,106781.0
349,Andre Ilagan,25,51046.0,45384.0,5662.0,87697.0
350,Constant Lestienne,33,142857.0,142567.0,290.0,2226728.0
351,Yuta Shimizu,26,187475.0,173248.0,14227.0,496495.0
352,Franco Roncadelli,25,46585.0,37152.0,9433.0,125292.0
353,Antoine Ghibaudo,20,38664.0,37772.0,892.0,84540.0
354,Maximus Jones,21,39453.0,37020.0,2433.0,83289.0
355,Javier Barranco Cosano,27,72481.0,68684.0,3797.0,377748.0
356,Moerani Bouzige,26,54605.0,51863.0,2742.0,111008.0
357,Henry Searle,19,148542.0,136953.0,11589.0,268636.0
358,Patrick Maloney,25,84836.0,79182.0,5654.0,110122.0
359,Sanhui Shin,28,35587.0,32529.0,3058.0,85491.0
360,Christian Langmo,29,46086.0,43078.0,3008.0,152805.0
361,Adria Soriano Barrera,26,36513.0,29742.0,6771.0,101275.0
362,Nicolas Alvarez Varona,24,45587.0,41292.0,4295.0,191626.0
363,Hayato Matsuoka,20,31637.0,29938.0,1699.0,47890.0
364,Hyeon Chung,29,35403.0,35403.0,0.0,3774890.0
365,Dominic Stricker,23,273745.0,263847.0,9898.0,1935902.0
366,Juan Bautista Torres,23,49611.0,45988.0,3623.0,197696.0
367,Denis Yevseyev,32,77872.0,70042.0,7830.0,614750.0
368,Samir Banerjee,22,31499.0,29330.0,2169.0,71368.0
369,Aslan Karatsev,32,34482.0,34482.0,0.0,5386717.0
370,Alibek Kachmazov,23,168540.0,166940.0,1600.0,436902.0
371,Gastao Elias,35,44873.0,41654.0,3219.0,1554482.0
372,Hernan Casanova,31,36526.0,29308.0,7218.0,327132.0
373,Corentin Denolly,28,57624.0,48432.0,9192.0,295225.0
374,Christoph Negritu,31,83063.0,53292.0,29771.0,216843.0
375,Luca Potenza,25,38118.0,32819.0,5299.0,112068.0
376,Taro Daniel,32,363306.0,363306.0,0.0,4938771.0
377,Felix Gill,23,25547.0,25547.0,0.0,171253.0
378,Viacheslav Bielinskyi,22,24706.0,22916.0,1790.0,70396.0
379,Alexey Vatutin,33,47938.0,46016.0,1922.0,677400.0
380,Guido Ivan Justo,28,39930.0,34929.0,5001.0,98050.0
381,Pol Martin Tiffon,26,133413.0,132866.0,547.0,290818.0
382,Paul Jubb,26,91453.0,91163.0,290.0,621661.0
383,Kilian Feldbausch,20,46307.0,41253.0,5054.0,88076.0
384,Pedro Sakamoto,32,34333.0,32410.0,1923.0,271794.0
385,Tung-Lin Wu,27,45173.0,42719.0,2454.0,604471.0
386,Diego Dedura,17,102964.0,102643.0,321.0,117456.0
387,Cezar Cretu,24,34149.0,28951.0,5198.0,146489.0
388,Federico Arnaboldi,25,169501.0,168616.0,885.0,299918.0
389,Trevor Svajda,19,56960.0,56030.0,930.0,92753.0
390,Raul Brancaccio,28,37116.0,33880.0,3236.0,495571.0
391,Max Alcala Gurri,23,35683.0,33532.0,2151.0,109570.0
392,Aidan McHugh,25,29520.0,26877.0,2643.0,238653.0
393,Mili Poljicak,21,62292.0,49130.0,13162.0,172040.0
394,David Jorda Sanchis,31,35798.0,34824.0,974.0,175705.0
395,Matias Soto,26,71995.0,48972.0,23023.0,200629.0
396,Marc Polmans,28,68455.0,48148.0,20307.0,1845001.0
397,Rudolf Molleker,25,39334.0,37110.0,2224.0,771026.0
398,Facundo Bagnis,35,141075.0,140785.0,290.0,3263172.0
399,Ioannis Xilas,24,24267.0,23330.0,937.0,39083.0
400,Carlo Alberto Caniato,20,59841.0,33017.0,26824.0,73249.0
401,Andrea Picchione,27,37412.0,33528.0,3884.0,128589.0
402,Aryan Shah,20,41684.0,35472.0,6212.0,57773.0
403,Albert Ramos-Vinolas,37,162181.0,162181.0,0.0,11215461.0
