player name,age,YTD,singles,doubles
Steve Johnson,29,1089134.0,953195.0,135939.0
Rinky Hijikata,24,1085290.0,773367.0,311923.0
Joao Sousa,27,1084465.0,977038.0,107427.0
Juncheng Shang,19,1084459.0,1083923.0,536.0
Adrian Mannarino,34,1084449.0,980387.0,104062.0
Miomir Kecmanovic,24,1082154.0,1008471.0,73683.0
Leonardo Mayer,31,1081273.0,938351.0,142922.0
Francisco Comesana,25,1080132.0,1034833.0,45299.0
Sam Querrey,32,1079494.0,949123.0,130371.0
Frances Tiafoe,20,1079147.0,1026059.0,53088.0
Marcos Giron,30,1078115.0,1004691.0,73424.0
Mikhail Kukushkin,32,1076395.0,991890.0,84505.0
Mischa Zverev,31,1071005.0,888180.0,182825.0
Max Purcell,25,1070338.0,817031.0,253307.0
Gael Monfils,29,1069706.0,1033015.0,36691.0
Mariano Navone,23,1067355.0,1005889.0,61466.0
David Ferrer,35,1066211.0,1046695.0,19516.0
Pedro Martinez,27,1066017.0,960850.0,105167.0
Jenson Brooksby,22,1062932.0,1062932.0,0.0
Steve Johnson,26,1062535.0,928658.0,133877.0
Hyeon Chung,21,1062462.0,1040510.0,21952.0
Pedro Martinez,25,1060630.0,815619.0,245011.0
Jo-Wilfried Tsonga,34,1059095.0,1054107.0,4988.0
Benoit Paire,29,1056836.0,988183.0,68653.0
Roberto Carballes Baena,31,1052652.0,981230.0,71422.0
Guillermo Garcia-Lopez,32,1052342.0,949400.0,102942.0
Andreas Seppi,34,1052192.0,976776.0,75416.0
Marton Fucsovics,31,1047968.0,1025073.0,22895.0
Arthur Rinderknech,29,1046034.0,1002430.0,43604.0
Aslan Karatsev,29,1045477.0,938837.0,106640.0
Nicolas Mahut,33,1045008.0,444016.0,600992.0
Gael Monfils,31,1043358.0,1021555.0,21803.0
Damir Dzumhur,25,1038611.0,1012697.0,25914.0
Kamil Majchrzak,29,1035022.0,1028358.0,6664.0
Richard Gasquet,31,1030186.0,1020777.0,9409.0
Emil Ruusuvuori,23,1029911.0,995458.0,34453.0
Matteo Berrettini,27,1028055.0,1023735.0,4320.0
Mattia Bellucci,24,1027936.0,960121.0,67815.0
Mariano Navone,24,1024278.0,980327.0,43951.0
Pablo Cuevas,29,1023296.0,780570.0,242726.0
Nick Kyrgios,20,1022947.0,961017.0,61930.0
John Millman,29,1021405.0,971320.0,50085.0
Jeremy Chardy,31,1019815.0,952070.0,67745.0
Alexander Shevchenko,25,1019367.0,999897.0,19470.0
Roberto Bautista Agut,37,1019026.0,1019026.0,0.0
Diego Schwartzman,31,1018896.0,984538.0,34358.0
Roberto Bautista Agut,35,1012595.0,1003925.0,8670.0
Alexander Shevchenko,24,1009443.0,963622.0,45821.0
Steve Johnson,28,1005440.0,933228.0,72212.0
Albert Ramos-Vinolas,30,1003239.0,928421.0,74818.0
Grigor Dimitrov,24,1001679.0,968788.0,32891.0
Alejandro Tabilo,28,1000548.0,945627.0,54921.0
Borna Coric,21,999819.0,994482.0,5337.0
Malek Jaziri,34,998535.0,887186.0,111349.0
Andy Murray,36,997741.0,989396.0,8345.0
Nicolas Mahut,36,996063.0,239462.0,756601.0
Kyle Edmund,24,995608.0,923876.0,71732.0
John Millman,30,995238.0,958074.0,37164.0
Adam Walton,26,990688.0,922589.0,68099.0
Viktor Troicki,31,989184.0,886201.0,102983.0
Botic van de Zandschulp,29,984484.0,905495.0,78989.0
Marcos Baghdatis,31,981918.0,948524.0,33394.0
Yoshihito Nishioka,27,981373.0,946014.0,35359.0
David Goffin,34,978344.0,973915.0,4429.0
Alexandre Muller,27,977989.0,912510.0,65479.0
