,ATP Prize Money Leaders (US$),,,,
"Rankings Date: Nov 16, 2015",,,,,
Money,,,,,
Rank,Player,Career,YTD,Singles,Doubles
220,"Gaudenzi, Andrea","$3,063,479",$0,$0,$0
Page 5 of 483,Statistics/ Prize Money/ Career,,,Report as of,"Nov 15, 2015"
,ATP Prize Money Leaders (US$),,,,
"Rankings Date: Nov 16, 2015",,,,,
Money,,,,,
Rank,Player,Career,YTD,Singles,Doubles
221,"Rikl, David","$3,063,353",$0,$0,$0
222,"Curren, Kevin","$3,055,510",$0,$0,$0
223,"Boetsch, Arnaud","$3,031,247",$0,$0,$0
224,"Sock, Jack","$3,021,771","$1,413,560","$902,175","$511,385"
225,"Carlsen, Kenneth","$2,990,980",$0,$0,$0
226,"Falla, Alejandro","$2,990,374","$257,046","$252,446","$4,600"
227,"Portas, Albert","$2,972,633",$0,$0,$0
228,"Serra, Florent","$2,970,611","$8,407","$2,844","$5,563"
229,"Fyrstenberg, Mariusz","$2,936,670","$103,977",$0,"$103,977"
230,"Sanguinetti, Davide","$2,935,584",$0,$0,$0
231,"Gimeno-Traver, Daniel","$2,927,993","$385,869","$349,476","$36,393"
232,"Vicente, Fernando","$2,917,616",$0,$0,$0
233,"Tecau, Horia","$2,911,793","$675,084",$0,"$675,084"
234,"Connell, Grant","$2,911,097",$0,$0,$0
235,"Lareau, Sebastien","$2,879,682",$0,$0,$0
236,"Knowle, Julian","$2,878,630","$125,199",$0,"$125,199"
237,"Hanley, Paul","$2,871,560",$0,$0,$0
238,"Kunitsyn, Igor","$2,861,069",$0,$0,$0
239,"Soares, Bruno","$2,835,092","$356,504",$0,"$356,504"
240,"Lopez, Marc","$2,826,171","$201,012",$0,"$201,012"
241,"Delaitre, Olivier","$2,788,904",$0,$0,$0
242,"Klizan, Martin","$2,782,950","$826,326","$717,473","$108,853"
243,"Gottfried, Brian","$2,782,514",$0,$0,$0
244,"Young, Donald","$2,780,958","$726,168","$671,719","$54,449"
245,"Gerulaitis, Vitas","$2,778,748",$0,$0,$0
246,"Goffin, David","$2,768,911","$1,153,706","$1,116,561","$37,145"
247,"Bopanna, Rohan","$2,761,165","$534,188",$0,"$534,188"
248,"Rochus, Christophe","$2,753,294",$0,$0,$0
249,"Fibak, Wojtek","$2,725,403",$0,$0,$0
250,"Mannarino, Adrian","$2,722,391","$820,680","$751,237","$69,443"
251,"Goellner, Marc-Kevin","$2,700,899",$104,$104,$0
252,"Kukushkin, Mikhail","$2,697,362","$511,665","$475,569","$36,096"
253,"Galbraith, Patrick","$2,684,136",$0,$0,$0
254,"Rojer, Jean-Julien","$2,682,765","$678,846",$0,"$678,846"
255,"Sela, Dudi","$2,665,751","$315,575","$309,376","$6,199"
256,"Mayotte, Tim","$2,663,672",$0,$0,$0
257,"Horna, Luis","$2,648,482",$0,$0,$0
258,"Ram, Andy","$2,647,616",$0,$0,$0
259,"Mecir Sr., Miloslav","$2,632,538",$0,$0,$0
260,"Ram, Rajeev","$2,621,502","$464,032","$258,824","$205,208"
261,"Berrer, Michael","$2,608,539","$260,321","$258,638","$1,683"
262,"Fromberg, Richard","$2,605,740",$0,$0,$0
263,"Sargsian, Sargis","$2,603,732",$0,$0,$0
264,"Gimelstob, Justin","$2,575,522",$0,$0,$0
Page 6 of 483,Statistics/ Prize Money/ Career,,,Report as of,"Nov 15, 2015"
,ATP Prize Money Leaders (US$),,,,
"Rankings Date: Nov 16, 2015",,,,,
Money,,,,,
Rank,Player,Career,YTD,Singles,Doubles
265,"Dent, Taylor","$2,563,378",$0,$0,$0
