"ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                            YTD         Singles   Doubles        Career"
"Rank Player                                          YTD         Singles   Doubles        Career"
"265      Djere, Laslo                           $82,517          $80,697    $1,820   $167,561"
"266      Lee, Duckhee                           $82,261          $80,131    $2,130   $123,390"
"267      Gaio, Federico                         $81,829          $76,508    $5,321   $200,380"
"268      Novak, Dennis                          $78,871          $65,436   $13,435   $166,314"
"269      Broady, Liam                           $78,760          $72,026    $6,734   $276,320"
"270      Gombos, Norbert                        $78,593          $77,812      $781   $350,761"
"271      Ramanathan, Ramkumar                   $77,858          $68,998    $8,860   $195,880"
"272      Draganja, Marin                        $76,546               $0   $76,546   $575,476"
"273      King, Darian                           $76,294          $70,673    $5,621   $161,167"
"274      Golubev, Andrey                        $74,631          $62,548   $12,083 $2,646,013"
"275      Mektic, Nikola                         $74,532          $32,734   $41,798   $354,196"
"276      Mertens, Yannick                       $74,505          $69,657    $4,848   $409,083"
"277      Krajinovic, Filip                      $74,435          $74,259      $176   $737,376"
"278      Ungur, Adrian                          $74,406          $70,631    $3,775   $951,204"
"279      Karatsev, Aslan                        $73,234          $70,168    $3,066   $239,813"
"280      Falla, Alejandro                       $73,044          $67,292    $5,752 $3,077,671"
"281      Dancevic, Frank                        $72,613          $70,775    $1,838 $1,779,942"
"282      Willis, Marcus                         $71,973          $71,491      $482   $166,746"
"283      Marray, Jonathan                       $71,609               $0   $71,609 $1,170,106"
"284      Donati, Matteo                         $71,372          $65,353    $6,019   $203,879"
"285      Krueger, Mitchell                      $70,445          $57,340   $13,105   $178,788"
"286      Hewitt, Lleyton                        $70,428          $45,955   $24,473 $20,787,586"
"287      Sidorenko, Alexandre                   $69,915          $60,429    $9,486   $490,508"
"288      Whittington, Andrew                    $69,150          $55,741   $13,409   $195,127"
"289      Jung, Jason                            $69,040          $59,305    $9,735   $170,724"
"290      Molchanov, Denys                       $68,885          $32,578   $36,307   $432,206"
"291      Krstin, Pedja                          $68,609          $65,864    $2,745   $154,977"
"292      Giustino, Lorenzo                      $67,024          $64,923    $2,101   $182,839"
"293      Michon, Axel                           $66,648          $60,987    $5,661   $319,747"
"294      Hemery , Calvin                        $66,414          $54,239   $12,175   $130,717"
"295      Ramirez Hidalgo, Ruben                 $66,128          $60,965    $5,163 $2,310,115"
"296      Raja, Purav                            $66,090               $0   $66,090   $270,281"
"297      Setkic, Aldin                          $65,882          $61,817    $4,065   $284,258"
"298      Coppejans, Kimmer                      $65,786          $60,064    $5,722   $256,491"
"299      Ward, Alexander                        $65,448          $57,208    $8,240   $180,596"
"300      Siljestrom, Andreas                    $65,117               $0   $65,117   $302,329"
"301      Bangoura, Sekou                        $64,235          $50,350   $13,885   $154,401"
"302      Eysseric, Jonathan                     $64,154          $38,800   $25,354   $414,421"
"303      Ghem, Andre                            $63,209          $54,147    $9,062   $501,819"
"304      Guez, David                            $62,137          $45,721   $16,416   $739,291"
"305      Popko, Dmitry                          $61,864          $56,320    $5,544     $99,873"
"306      Zopp, Jurgen                           $61,330          $58,383    $2,947   $745,205"
"307      McGee, James                           $61,324          $60,340      $984   $304,842"
"308      Bachinger, Matthias                    $61,180          $60,314      $866 $1,195,859"
""
"Page 7 of 109                     Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                                ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                            YTD         Singles   Doubles        Career"
"309      Santillan, Akira                         $60,787          $49,173   $11,614      $72,247"
"310      Bublik, Alexander                        $60,548          $55,525    $5,023      $68,812"
"311      Shapovalov, Denis                        $60,232          $52,805    $7,427      $64,432"
"312      Caruso, Salvatore                        $59,889          $56,548    $3,341     $134,530"
"313      Bhambri, Yuki                            $59,570          $56,660    $2,910     $399,478"
"314      Sandgren, Tennys                         $59,398          $54,453    $4,945     $244,416"
"315      Sharan, Divij                            $59,318               $0   $59,318     $251,539"
"316      De Greef, Arthur                         $58,549          $56,037    $2,512     $177,571"
"317      Ignatik, Uladzimir                       $58,543          $52,907    $5,636     $435,720"
"318      Nguyen, Daniel                           $57,636          $46,521   $11,115     $146,625"
"319      Chen, Ti                                 $57,439          $44,272   $13,167    $446,390"
"320      Safwat, Mohamed                          $57,406          $52,547    $4,859     $215,061"
"321      Bury, Aliaksandr                         $56,969               $0   $56,969     $218,992"
"322      Riba, Pere                               $56,542          $49,854    $6,688   $1,355,754"
"323      Ebden, Matthew                           $55,952          $52,639    $3,313   $1,755,491"
"324      Skupski, Ken                             $55,581               $0   $55,581     $525,286"
"325      Begemann, Andre                          $55,491               $0   $55,491     $639,639"
"326      Arguello, Facundo                        $54,987          $41,560   $13,427    $458,613"
"327      Elgin, Mikhail                           $54,697           $8,445   $46,252     $764,473"
"328      Nielsen, Frederik                        $54,543          $14,930   $39,613    $914,312"
"329      Rola, Blaz                               $53,773          $47,887    $5,886     $579,116"
"330      Struvay, Eduardo                         $53,689          $47,747    $5,942     $221,016"
"331      De Loore, Joris                          $53,466          $48,991    $4,475     $102,539"
"332      Bai, Yan                                 $53,338          $42,164   $11,174     $215,597"
"333      Harrison, Christian                      $53,300          $53,300        $0     $126,199"
"334      Brunstrom, Johan                         $52,854               $0   $52,854     $821,803"
"335      Lestienne, Constant                      $52,233          $49,964    $2,269     $111,285"
"336      Tepavac, Marko                           $51,880          $48,352    $3,528      $86,845"
"337      Oswald, Philipp                          $51,312               $0   $51,312     $621,034"
"338      Napolitano, Stefano                      $49,923          $43,114    $6,809     $101,459"
"339      Uchiyama, Yasutaka                       $48,834          $37,286   $11,548     $223,868"
"340      Marterer, Maximilian                     $48,766          $44,780    $3,986     $104,880"
"341      Kavcic, Blaz                             $47,858          $46,069    $1,789   $1,544,491"
"342      Zekic, Miljan                            $47,438          $45,263    $2,175     $153,280"
"343      Janvier, Maxime                          $47,164          $42,672    $4,492      $71,996"
"344      Corrie, Edward                           $46,477          $45,217    $1,260     $182,574"
"345      Jarry, Nicolas                           $45,956          $37,836    $8,120     $129,090"
"346      Bester, Philip                           $45,722          $27,187   $18,535    $252,407"
"347      Volandri, Filippo                        $45,638          $45,638        $0   $3,949,631"
"348      Reuter, Yannik                           $44,930          $43,339    $1,591     $130,293"
"349      Gomez, Emilio                            $44,916          $39,097    $5,819     $162,486"
"350      Reid, Matt                               $43,138          $16,077   $27,061    $353,542"
"351      Zelenay, Igor                            $42,879             $482   $42,397     $577,705"
"352      Sousa, Pedro                             $42,854          $39,821    $3,033     $216,024"
""
