"ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                 Career          YTD           Singles     Doubles"
"246      McEnroe, Patrick                              $3,118,316            $0              $0              $0"
"247      Falla, Alejandro                              $3,101,331       $23,660         $22,400          $1,260"
"248      Chesnokov, Andrei                             $3,084,188            $0              $0              $0"
"249      Gaudenzi, Andrea                              $3,063,479            $0              $0              $0"
"250      Rikl, David                                   $3,063,353            $0              $0              $0"
"251      Curren, Kevin                                 $3,055,510            $0              $0              $0"
"252      Fyrstenberg, Mariusz                          $3,053,264       $14,812              $0         $14,812"
"253      Knowle, Julian                                $3,048,871       $86,376              $0         $86,376"
"254      Boetsch, Arnaud                               $3,031,247            $0              $0              $0"
"255      Schwartzman, Diego                            $3,013,699    $1,617,789      $1,523,297         $94,492"
"256      Carlsen, Kenneth                              $2,990,980            $0              $0              $0"
"257      Darcis, Steve                                 $2,989,098      $567,263        $531,591         $35,672"
"258      Peers, John                                   $2,983,689    $1,164,647              $0      $1,164,647"
"259      Portas, Albert                                $2,972,633            $0              $0              $0"
"260      Serra, Florent                                $2,970,611            $0              $0              $0"
"261      Sanguinetti, Davide                           $2,935,584            $0              $0              $0"
"262      Vesely, Jiri                                  $2,917,835      $782,358        $705,189         $77,169"
"263      Vicente, Fernando                             $2,917,616            $0              $0              $0"
"264      Connell, Grant                                $2,911,097            $0              $0              $0"
""
"Page 6 of 531                    Statistics/ Prize Money/ Career          Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                Career         YTD           Singles       Doubles"
"265      Qureshi, Aisam-Ul-Haq                         $2,888,043      $318,009          $3,365       $314,644"
"266      Lareau, Sebastien                             $2,879,682            $0              $0              $0"
"267      Hanley, Paul                                  $2,871,560            $0              $0              $0"
"268      Kunitsyn, Igor                                $2,861,069            $0              $0              $0"
"269      Marach, Oliver                                $2,805,021      $411,160          $2,860       $408,300"
"270      Delaitre, Olivier                             $2,788,904            $0              $0              $0"
"271      Delbonis, Federico                            $2,788,347      $394,982        $378,265         $16,717"
"272      Gottfried, Brian                              $2,782,514            $0              $0              $0"
"273      Lacko, Lukas                                  $2,780,502      $323,589        $322,215          $1,374"
"274      Gerulaitis, Vitas                             $2,778,748            $0              $0              $0"
"275      Berrer, Michael                               $2,766,701            $0              $0              $0"
"276      Rochus, Christophe                            $2,753,294            $0              $0              $0"
"277      Fibak, Wojtek                                 $2,725,403            $0              $0              $0"
"278      Kuznetsov, Andrey                             $2,712,720      $492,114        $449,285         $42,829"
"279      Goellner, Marc-Kevin                          $2,700,899            $0              $0              $0"
"280      Galbraith, Patrick                            $2,684,136            $0              $0              $0"
"281      Mayotte, Tim                                  $2,663,672            $0              $0              $0"
"282      Golubev, Andrey                               $2,663,623       $17,610         $12,896          $4,714"
"283      Sa, Andre                                     $2,649,262       $92,478          $1,520         $90,958"
"284      Horna, Luis                                   $2,648,482            $0              $0              $0"
"285      Ram, Andy                                     $2,647,616            $0              $0              $0"
"286      Brown, Dustin                                 $2,633,386      $498,874        $455,855         $43,019"
"287      Mecir Sr., Miloslav                           $2,632,538            $0              $0              $0"
"288      Fromberg, Richard                             $2,605,740            $0              $0              $0"
"289      Coric, Borna                                  $2,605,378      $999,819        $994,482          $5,337"
"290      Sargsian, Sargis                              $2,603,732            $0              $0              $0"
"291      Gimelstob, Justin                             $2,575,522            $0              $0              $0"
"292      Dent, Taylor                                  $2,563,378            $0              $0              $0"
"293      Meligeni, Fernando                            $2,555,367            $0              $0              $0"
"294      Adams, David                                  $2,534,247            $0              $0              $0"
"295      Gicquel, Marc                                 $2,513,519          $294              $0            $294"
"296      Squillari, Franco                             $2,504,591            $0              $0              $0"
"297      Erlich, Jonathan                              $2,489,972       $94,790              $0         $94,790"
"298      Moodie, Wesley                                $2,455,112            $0              $0              $0"
"299      Russell, Michael                              $2,452,569            $0              $0              $0"
"300      Dosedel, Slava                                $2,452,512            $0              $0              $0"
"301      Furlan, Renzo                                 $2,449,043            $0              $0              $0"
"302      Raoux, Guillaume                              $2,446,506            $0              $0              $0"
"303      Steven, Brett                                 $2,439,714            $0              $0              $0"
"304      Svensson, Jonas                               $2,439,702            $0              $0              $0"
"305      Cermak, Frantisek                             $2,418,073            $0              $0              $0"
"306      Mansdorf, Amos                                $2,412,691            $0              $0              $0"
"307      Jaziri, Malek                                 $2,394,064      $637,500        $582,968         $54,532"
"308      Kontinen, Henri                               $2,388,318    $1,159,560              $0      $1,159,560"
""
"Page 7 of 531                    Statistics/ Prize Money/ Career          Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                 Career         YTD          Singles     Doubles"
"309      Kriek, Johan                                   $2,383,794            $0             $0            $0"
"310      Struff, Jan-Lennard                            $2,377,544     $844,842        $781,676       $63,166"
"311      Ferreira, Ellis                                $2,375,220            $0             $0            $0"
"312      Lee, Hyung-Taik                                $2,355,686            $0             $0            $0"
"313      Ramirez Hidalgo, Ruben                         $2,346,155       $36,503        $32,325        $4,178"
"314      Vizner, Pavel                                  $2,337,009            $0             $0            $0"
"315      Steeb, Carl-Uwe                                $2,320,082            $0             $0            $0"
"316      Lajovic, Dusan                                 $2,307,855     $576,309        $548,667       $27,642"
"317      Johnson, Donald                                $2,294,044            $0             $0            $0"
"318      Bedene, Aljaz                                  $2,289,561     $656,321        $640,720       $15,601"
"319      Davis, Scott                                   $2,286,711            $0             $0            $0"
"320      Pozzi, Gianluca                                $2,272,035            $0             $0            $0"
"321      Cherkasov, Andrei                              $2,260,281            $0             $0            $0"
"322      Yzaga, Jaime                                   $2,235,560            $0             $0            $0"
"323      Ramirez, Raul                                  $2,217,971            $0             $0            $0"
"324      Robert, Stephane                               $2,216,454     $227,700        $212,454       $15,246"
"325      Golmard, Jerome                                $2,215,784            $0             $0            $0"
"326      Kamke, Tobias                                  $2,201,296     $103,874        $102,890          $984"
"327      Phau, Bjorn                                    $2,189,473            $0             $0            $0"
"328      Dzumhur, Damir                                 $2,180,869    $1,038,611     $1,012,697       $25,914"
"329      Hernych, Jan                                   $2,178,092          $258           $258            $0"
"330      Berankis, Ricardas                             $2,164,087     $292,296        $287,300        $4,996"
"331      Marrero, David                                 $2,161,964      $118,355             $0      $118,355"
"332      Sijsling, Igor                                 $2,150,767       $32,098        $29,494        $2,604"
"333      Aspelin, Simon                                 $2,121,037            $0             $0            $0"
"334      Edmund, Kyle                                   $2,117,993     $965,395        $952,699       $12,696"
"335      Beck, Karol                                    $2,110,636           $54             $0           $54"
"336      Casal, Sergio                                  $2,107,745            $0             $0            $0"
"337      Alami, Karim                                   $2,087,596            $0             $0            $0"
"338      Nastase, Ilie                                  $2,076,761            $0             $0            $0"
"339      Nystrom, Joakim                                $2,074,947            $0             $0            $0"
