"ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 31, 2018"
"Money"
"Rank Player                                                      YTD   Singles     Doubles           Career"
"292      Peliwo, Filip                                     $89,207     $83,731     $5,476         $274,386"
"293      Galan, Daniel Elahi                               $88,648     $88,327       $321         $167,488"
"294      Krstin, Pedja                                     $88,007     $84,961     $3,046         $290,204"
"295      Quiroz, Roberto                                   $87,966     $72,762    $15,204         $221,823"
"296      Kozlov, Stefan                                    $87,958     $84,779     $3,179         $475,255"
"297      Aragone, JC                                       $86,656     $76,792     $9,864         $152,120"
"298      Taberner, Carlos                                  $86,445     $86,125       $320         $154,324"
"299      Moriya, Hiroki                                    $86,163     $80,845     $5,318         $674,919"
"300      Gimeno-Traver, Daniel                             $85,211     $82,804     $2,407       $3,244,523"
"301      Kwon, Soonwoo                                     $84,782     $84,440       $342         $189,832"
"302      Rosol, Lukas                                      $83,482     $77,884     $5,598       $4,179,488"
"303      Withrow, Jackson                                  $83,363          $0    $83,363         $133,786"
"304      Giustino, Lorenzo                                 $83,029     $78,778     $4,251         $334,755"
"305      Erlich, Jonathan                                  $82,325          $0    $82,325       $2,572,291"
"306      Bracciali, Daniele                                $82,032          $0    $82,032       $1,831,148"
"307      Ward, James                                       $82,002     $80,673     $1,329       $1,304,987"
"308      Novikov, Dennis                                   $81,998     $77,928     $4,070         $605,830"
""
"Page 7 of 100                      Statistics/ Prize Money/ Current         Report as of Dec 30, 2018"
"                             ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 31, 2018"
"Money"
"Rank Player                                                      YTD   Singles    Doubles           Career"
"309      Kamke, Tobias                                      $81,783    $78,143      $3,640      $2,283,079"
"310      O'Mara, Jonny                                      $81,607         $0     $81,607        $131,636"
"311      Altamirano, Collin                                 $81,341    $78,499      $2,842        $140,829"
"312      Benchetrit, Elliot                                 $80,811    $74,309      $6,502        $102,637"
"313      Eysseric, Jonathan                                 $80,361     $1,904     $78,457        $598,873"
"314      Collarini, Andrea                                  $79,699    $76,658      $3,041        $262,528"
"315      Serdarusic, Nino                                   $79,352    $75,406      $3,946        $150,846"
"316      Paul, Tommy                                        $79,265    $73,715      $5,550        $431,955"
"317      Arnaboldi, Andrea                                  $78,630    $75,692      $2,938        $722,310"
"318      Nedunchezhiyan, Jeevan                             $77,836         $0     $77,836        $249,966"
"319      Rola, Blaz                                         $77,821    $74,503      $3,318        $720,946"
"320      Mousley, Bradley                                   $77,579    $53,844     $23,735        $210,111"
"321      Petrovic, Danilo                                   $76,395    $69,121      $7,274        $205,389"
"322      Wu, Di                                             $75,667    $55,967     $19,700        $783,874"
"323      Karlovskiy, Evgeny                                 $75,151    $63,541     $11,610        $148,628"
"324      Arneodo, Romain                                    $74,563     $2,670     $71,893        $194,182"
"325      Evans, Daniel                                      $74,510    $73,703        $807      $1,414,203"
"326      Arends, Sander                                     $74,264         $0     $74,264        $156,801"
"327      Watanuki, Yosuke                                   $74,235    $71,541      $2,694        $105,736"
"328      Vasilevski, Andrei                                 $73,626         $0     $73,626        $252,158"
"329      Balazs, Attila                                     $73,500    $66,188      $7,312        $303,393"
"330      Clezar, Guilherme                                  $73,153    $70,267      $2,886        $564,143"
"331      Brands, Daniel                                     $72,822    $72,023        $799      $2,110,710"
"332      Miedler, Lucas                                     $71,424    $58,492     $12,932        $151,602"
"333      Brkic, Tomislav                                    $71,117    $57,783     $13,334        $242,034"
"334      Molchanov, Denys                                   $67,996     $2,850     $65,146        $534,299"
"335      Sancic, Antonio                                    $67,224         $0     $67,224        $234,275"
"336      Caruana, Liam                                      $66,556    $65,511      $1,045         $84,294"
"337      Ilkel, Cem                                         $66,555    $59,315      $7,240        $221,104"
"338      Gutierrez-Ferrol, Sergio                           $64,909    $60,613      $4,296        $223,871"
"339      Nedelko, Ivan                                      $64,528    $61,921      $2,607        $215,563"
"340      Baldi, Filippo                                     $64,211    $58,291      $5,920        $113,004"
"341      Zelenay, Igor                                      $63,973         $0     $63,973        $673,529"
"342      Domingues, Joao                                    $63,748    $60,435      $3,313        $179,685"
