Rank,Player,YTD,Singles,Doubles,Career
388,"Vacherot, Valentin",69441,67872,1569,126595
389,"Landaluce, Martin",67543,51175,16368,76001
390,"Frantzen, Constantin",67401,140,67261,84488
391,"Lock, Benjamin",66713,54152,12561,232030
392,"Jasika, Omar",66419,62633,3786,343663
393,"Pucinelli De Almeida, Matheus",66096,59619,6477,226636
394,"Chappell, Nick",65757,57651,8106,181107
395,"Ramanathan, Ramkumar",65156,27020,38136,1203047
396,"Mansouri, Skander",64402,42094,22308,222203
397,"Samuel, Toby",64394,44235,20159,76241
398,"Blanchet, Ugo",64046,57866,6180,129841
399,"Gojowczyk, Peter",63752,63752,0,3771631
400,"Anderson, Kevin",63535,61780,1755,17791917
401,"Kicker, Nicolas",63465,57598,5867,1084448
402,"Statham, Rubin",63284,35590,27694,393971
403,"Qureshi, Aisam-Ul-Haq",62192,0,62192,3720898
404,"Monday, Johannus",61596,37580,24016,74660
405,"Taberner, Carlos",61494,55726,5768,1075966
406,"Diez, Steven",61463,54983,6480,1016641
407,"King, Evan",60930,920,60010,522366
408,"Boyer, Tristan",60912,59828,1084,72616
409,"Hemery, Calvin",60871,56638,4233,540024
410,"Martineau, Matteo",60722,52171,8551,200330
411,"Zekic, Miljan",60711,58320,2391,409923
412,"Squire, Henri",60527,56329,4198,120934
413,"Sun, Fajing",59692,30293,29399,208628
414,"Rodriguez, Cristian",59683,915,58768,248406
415,"Oliveira, Goncalo",59432,54071,5361,461387
416,"Janvier, Maxime",59357,58998,359,758022
417,"Rocha, Henrique",59151,48232,10919,69128
418,"Durasovic, Viktor",58955,46510,12445,259565
419,"Jacquet, Kyrian",58655,54392,4263,168799
420,"Gueymard Wayenburg, Sascha",58319,45533,12786,111675
421,"Neumayer, Lukas",58277,56568,1709,117569
422,"Zhou, Yi",58169,48582,9587,58169
423,"Wessels, Louis",58088,54322,3766,202197
424,"Harris, Andrew",57522,0,57522,412797
425T,"Mager, Gianluca",57218,56311,907,1583760
425T,"Zuk, Kacper",57218,52494,4724,362609
427,"Sanchez, Luca",56424,507,55917,68334
428,"Klahn, Bradley",56222,54760,1462,1764256
429,"Eysseric, Jonathan",55564,1352,54212,735943
430,"Mejia, Nicolas",55399,49552,5847,171611
431,"Heide, Gustavo",55264,44315,10949,104676
432,"Marchenko, Illya",54831,54559,272,2402048
433,"Alves, Mateus",54778,38340,16438,126564
434,"Reis Da Silva, Joao Lucas",54680,42030,12650,131750
435,"Arribage, Theo",54241,510,53731,81510
436,"Debru, Gabriel",54125,49590,4535,88652
437,"Cuevas, Pablo",53240,52462,778,9696652
438,"Jebavy, Roman",53143,395,52748,726383
439,"Paulson, Andrew",52570,30511,22059,115355
440,"Elias, Gastao",52145,50424,1721,1463765
441,"Dellien, Murkel",52101,40688,11413,95263
442,"Kwiatkowski, Thai-Son",52028,44224,7804,503918
443,"Marie, Jules",51519,50614,905,155165
444,"Brkic, Tomislav",50847,0,50847,690014
445,"Bourgue, Mathias",50584,45744,4840,840846
446,"Crawford, Oliver",49993,48229,1764,135654
447,"Cui, Jie",49847,34634,15213,90802
448,"Palan, Dominik",48785,47800,985,86871
449,"Tabur, Clement",48642,44965,3677,143276
450,"Nouza, Petr",48428,10205,38223,109070
451,"Luz, Orlando",48059,23680,24379,264470
452,"Zeballos, Federico",47853,2414,45439,205101
453,"Sinclair, Colin",47522,32268,15254,110398
454,"Chung, Yun seong",47499,30175,17324,221011
455,"Arends, Sander",47474,0,47474,401371
456,"Erhard, Mathys",47455,46090,1365,79718
457,"Caruso, Salvatore",47420,43563,3857,1977744
458,"Borg, Leo",47266,42001,5265,91989
459,"Arias, Boris",47188,795,46393,108408
460,"Moro Canas, Alejandro",47171,45065,2106,99315
